site,out_L,pos,xs_N,xs_CN,CA,ei,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L
site_3,ds_hx6,downstream,riffle,xs4,39.49191,0.006937358,0.433,0.252,2.517,0.758,8.09,5.813,46.765,47.008
site_3,ds_hx6,downstream,pool,xs5,39.49191,0.006937358,0.892,0.448,3.209,1.529,4.589,3.598,46.723,46.889
site_3,ds_hx6,downstream,riffle,xs6,39.49191,0.006937358,0.472,0.21,5.148,1.163,7.369,10.906,46.705,46.853
site_3,ds_hx6,downstream,pool,xs7,39.49191,0.006937358,1.017,0.436,6.047,3.088,2.803,5.946,46.729,46.639
site_3,ds_hx6,downstream,riffle,xs8,39.49191,0.006937358,0.58,0.234,3.402,0.954,4.626,5.866,46.978,46.542
site_4,us_hx7,upstream,pool,xs4,39.49191,0.006937358,1.692,0.958,7.051,7.315,2.418,4.167,46.821,47.118
site_4,us_hx7,upstream,riffle,xs3,39.49191,0.006937358,0.822,0.477,5.989,3.193,,7.286,46.818,46.823
site_4,us_hx7,upstream,pool,xs2,39.49191,0.006937358,1.233,0.702,5.651,4.582,2.833,4.583,46.647,46.702
site_4,us_hx7,upstream,riffle,xs1,39.49191,0.006937358,0.96,0.588,8.841,5.457,3.133,9.209,46.8,46.845
site_4,ds_hx7,downstream,pool,xs1,39.570202,0.009120354,1.17,0.678,7.202,5.968,3.533,6.156,46.729,46.545
site_4,ds_hx7,downstream,riffle,xs2,39.570202,0.009120354,0.95,0.262,6.177,1.801,4.068,6.502,45.297,45.297
site_4,ds_hx7,downstream,pool,xs3,39.570202,0.009120354,1.482,0.619,7.77,6.155,3.943,5.243,43.922,43.942
site_4,ds_hx7,downstream,riffle,xs4,39.570202,0.009120354,0.852,0.435,6.214,3.223,5.558,7.293,44.035,43.95
site_4,ds_hx7,downstream,pool,xs5,39.570202,0.009120354,0.818,0.419,6.457,3.615,7.346,7.894,42.891,42.835
site_4,ds_hx7,downstream,riffle,xs6,39.570202,0.009120354,0.5,0.286,4.366,1.443,11.442,8.732,42.943,42.637
site_4,ds_hx7,downstream,pool,xs7,39.570202,0.009120354,1.376,0.546,3.888,3.501,4.079,2.826,42.877,42.83
site_4,ds_hx7,downstream,riffle,xs8,39.570202,0.009120354,0.771,0.295,5.529,1.735,8.384,7.171,42.047,42.034
site_4,ds_hx7,downstream,pool,xs9,39.570202,0.009120354,1.257,0.717,6.045,4.924,5.243,4.809,42.034,42.28
site_5,us_hx8,upstream,riffle,xs8,39.570202,0.009120354,0.411,0.171,4.312,0.738,18.173,10.491,39.782,39.754
site_5,us_hx8,upstream,pool,xs7,39.570202,0.009120354,0.996,0.425,3.799,1.91,8.404,3.814,39.685,39.663
site_5,us_hx8,upstream,riffle,xs6,39.570202,0.009120354,0.618,0.23,5.326,1.048,12.845,8.618,39.984,39.808
site_5,us_hx8,upstream,pool,xs5,39.570202,0.009120354,1.349,0.77,5.515,4.344,5.993,4.088,39.827,39.844
site_5,us_hx8,upstream,riffle,xs4,39.570202,0.009120354,0.319,0.179,4.714,0.893,23.147,14.778,39.198,39.198
site_5,us_hx8,upstream,pool,xs3,39.570202,0.009120354,1.168,0.7,5.647,4.831,6.628,4.835,39.689,39.25
