Long,Lat,Desc,pos,bkf_W,bkf_D
145.4676449,-38.05342455,up_xs4_riffle,,0.701429968,-1.042
145.4676573,-38.05341975,up_xs4_riffle,,1.909824075,-1.891
145.4676668,-38.05341842,up_xs4_riffle,,2.732489341,-2.633
145.4676807,-38.05341743,up_xs4_riffle,,3.919197494,-4.08
145.4676918,-38.05341455,up_xs4_riffle,,4.946195002,-4.769
145.4676994,-38.05341282,up_xs4_riffle,,5.634068512,-4.851
145.467708,-38.05341155,up_xs4_riffle,,6.401894251,-4.65
145.4677184,-38.05340778,up_xs4_riffle,,7.396892929,-4.578
145.467727,-38.05340648,up_xs4_riffle,,8.161513401,-4.717
145.4677301,-38.05340508,up_xs4_riffle,,8.468651014,-4.883
145.4677355,-38.05340437,up_xs4_riffle,,8.939685006,-5.182
145.4677385,-38.05340546,up_xs4_riffle,bkf,9.16018919,-5.504
145.4677405,-38.05340493,up_xs4_riffle,bkf_WL,9.342450267,-5.683
145.467744,-38.05340396,up_xs4_riffle,,9.667060412,-6.035
145.4677483,-38.0534032,up_xs4_riffle,,10.05497872,-6.095
145.4677557,-38.05340235,up_xs4_riffle,bkf_M,10.71133017,-6.003
145.4677631,-38.05340221,up_xs4_riffle,,11.34293688,-6.141
145.4677701,-38.05340153,up_xs4_riffle,,11.94834754,-5.898
145.4677747,-38.05340151,up_xs4_riffle,bkf_WL,12.34293081,-5.64
145.4677777,-38.05340018,up_xs4_riffle,bkf,12.63886834,-5.514
145.4677778,-38.05340142,up_xs4_riffle,,12.61104123,-5.299
145.4677862,-38.05340061,up_xs4_riffle,,13.3477149,-5.049
145.4677969,-38.05339974,up_xs4_riffle,,14.29035941,-4.665
145.4678063,-38.05339922,up_xs4_riffle,,15.10793821,-4.035
145.4678263,-38.05339891,up_xs4_riffle,,16.83311641,-2.048
145.4678445,-38.05340079,up_xs4_riffle,,18.36437911,-1.307
145.4678546,-38.05340176,up_xs4_riffle,,19.2222179,-0.698
145.4678647,-38.05340261,up_xs4_riffle,,20.0936052,-0.136
145.4678725,-38.05340158,up_xs4_riffle,,20.78689996,0.504
145.4678807,-38.05340149,up_xs4_riffle,,21.49678174,0.819
145.4676586,-38.05350826,up_xs3_pool,,0,0
145.467677,-38.05350545,up_xs3_pool,,1.648238454,-0.944
145.4676862,-38.05350337,up_xs3_pool,,2.487290293,-2.22
145.4677002,-38.05349928,up_xs3_pool,,3.789123513,-4.231
145.4677059,-38.05350995,up_xs3_pool,bkf,4.159702513,-5.032
145.4677059,-38.05350096,up_xs3_pool,bkf_WL,4.227394706,-5.139
145.4677137,-38.05350178,up_xs3_pool,,4.889721567,-5.984
145.467721,-38.05350296,up_xs3_pool,,5.512973971,-6.278
145.4677298,-38.05350077,up_xs3_pool,,6.307535176,-5.782
145.4677387,-38.05349963,up_xs3_pool,bkf_M,7.092784855,-5.638
145.4677489,-38.05349783,up_xs3_pool,,8.013190688,-5.8
145.4677593,-38.05349721,up_xs3_pool,,8.926073269,-6.048
145.4677676,-38.05349647,up_xs3_pool,,9.654947177,-5.831
145.467769,-38.05349713,up_xs3_pool,bkf_WL,9.766144633,-5.082
145.4677743,-38.05349974,up_xs3_pool,bkf,10.2009004,-5.034
145.4677762,-38.05349657,up_xs3_pool,,10.40309689,-4.714
145.4677857,-38.05349571,up_xs3_pool,,11.24399684,-3.544
145.4677854,-38.05349558,up_xs3_pool,,11.2213611,-3.545
145.4677953,-38.05349356,up_xs3_pool,,12.11090521,-3.352
145.4678083,-38.0534911,up_xs3_pool,,13.27947747,-3.076
145.4678118,-38.05349066,up_xs3_pool,,13.58409206,-2.675
145.4678198,-38.05349013,up_xs3_pool,,14.29143173,-2.398
145.4678364,-38.05348853,up_xs3_pool,,15.7609586,-1.824
145.4678541,-38.05348664,up_xs3_pool,,17.32683029,-0.619
145.4678651,-38.05348602,up_xs3_pool,,18.29149666,0.512
145.4678763,-38.05348413,up_xs3_pool,,19.29637357,0.99
145.4677135,-38.05372289,up_xs2_riffle,,0,0
145.4677277,-38.0537102,up_xs2_riffle,,1.882197121,-0.986
145.4677368,-38.0537046,up_xs2_riffle,,2.885894142,-2.05
145.4677459,-38.05369728,up_xs2_riffle,,4.023245083,-2.999
145.4677565,-38.05368872,up_xs2_riffle,,5.352326037,-3.951
145.4677668,-38.05368079,up_xs2_riffle,,6.612276612,-4.568
145.4677728,-38.05367703,up_xs2_riffle,bkf,7.281878466,-4.844
145.4677753,-38.05367404,up_xs2_riffle,bkf_WL,7.673072527,-5.401
145.4677803,-38.05367072,up_xs2_riffle,,8.239659823,-5.771
145.4677879,-38.05366665,up_xs2_riffle,,9.034164599,-5.922
145.4677954,-38.05366096,up_xs2_riffle,,9.944207611,-5.795
145.4677997,-38.05365645,up_xs2_riffle,bkf_M,10.56636309,-5.778
145.4678034,-38.05365303,up_xs2_riffle,bkf_M,11.06090069,-5.644
145.4678054,-38.05365288,up_xs2_riffle,,11.19776585,-5.531
145.4678103,-38.05364938,up_xs2_riffle,,11.78120134,-5.406
145.4678149,-38.0536468,up_xs2_riffle,,12.26603587,-5.578
145.4678168,-38.05364515,up_xs2_riffle,bkf_WL,12.51622755,-5.48
145.4678224,-38.0536435,up_xs2_riffle,bkf,13.00044838,-4.844
145.4678289,-38.05363926,up_xs2_riffle,,13.74068022,-4.431
145.4678354,-38.05363422,up_xs2_riffle,,14.53638473,-4.235
145.467846,-38.05362716,up_xs2_riffle,,15.74944748,-3.64
145.4678612,-38.05361967,up_xs2_riffle,,17.29931236,-3.215
