site,out_L,pos,CA,ei,xs_N,xs_CN,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L,xs_D,lwd_N,pool_D,riffle_D
site_4,us_hx7,upstream,39.49191,0.006937358,riffle,xs3,0.822,0.477,5.989,3.193,na,7.286,46.818,46.823,21.464,0.326,,31.465
site_4,us_hx7,upstream,39.49191,0.006937358,pool,xs2,1.233,0.702,5.651,4.582,2.833,4.583,46.647,46.702,75.718,0.225,97.182,
site_4,us_hx7,upstream,39.49191,0.006937358,riffle,xs1,0.96,0.588,8.841,5.457,3.133,9.209,46.8,46.845,7.744,0.129,,83.462
site_4,ds_hx7,downstream,39.570202,0.009120354,pool,xs1,1.17,0.678,7.202,5.968,3.533,6.156,46.729,46.545,,,,
site_4,ds_hx7,downstream,39.570202,0.009120354,riffle,xs2,0.95,0.262,6.177,1.801,4.068,6.502,45.297,45.297,60.930,0.131,,
site_4,ds_hx7,downstream,39.570202,0.009120354,pool,xs3,1.482,0.619,7.77,6.155,3.943,5.243,43.922,43.942,32.037,0.187,92.967,
site_4,ds_hx7,downstream,39.570202,0.009120354,riffle,xs4,0.852,0.435,6.214,3.223,5.558,7.293,44.035,43.95,13.155,0.152,,45.192
site_4,ds_hx7,downstream,39.570202,0.009120354,pool,xs5,0.818,0.419,6.457,3.615,7.346,7.894,42.891,42.835,49.396,0.121,62.551,
site_4,ds_hx7,downstream,39.570202,0.009120354,riffle,xs6,0.5,0.286,4.366,1.443,11.442,8.732,42.943,42.637,13.405,0.000,,62.801
site_4,ds_hx7,downstream,39.570202,0.009120354,pool,xs7,1.376,0.546,3.888,3.501,4.079,2.826,42.877,42.83,20.356,0.197,33.761,
site_4,ds_hx7,downstream,39.570202,0.009120354,riffle,xs8,0.771,0.295,5.529,1.735,8.384,7.171,42.047,42.034,26.459,0.340,,46.815
site_4,ds_hx7,downstream,39.570202,0.009120354,pool,xs9,1.257,0.717,6.045,4.924,5.243,4.809,42.034,42.28,15.493,0.065,41.952,
site_5,us_hx8,upstream,39.570202,0.009120354,riffle,xs8,0.411,0.171,4.312,0.738,18.173,10.491,39.782,39.754,,,,
site_5,us_hx8,upstream,39.570202,0.009120354,pool,xs7,0.996,0.425,3.799,1.91,8.404,3.814,39.685,39.663,1.590,0.629,,
site_5,us_hx8,upstream,39.570202,0.009120354,riffle,xs6,0.618,0.23,5.326,1.048,12.845,8.618,39.984,39.808,1.011,1.978,,2.601
site_5,us_hx8,upstream,39.570202,0.009120354,pool,xs5,1.349,0.77,5.515,4.344,5.993,4.088,39.827,39.844,28.446,0.352,29.457,
site_5,us_hx8,upstream,39.570202,0.009120354,riffle,xs4,0.319,0.179,4.714,0.893,23.147,14.778,39.198,39.198,40.610,0.025,,69.056
site_5,us_hx8,upstream,39.570202,0.009120354,pool,xs3,1.168,0.7,5.647,4.831,6.628,4.835,39.689,39.25,19.024,0.053,59.634,
site_5,us_hx8,upstream,39.570202,0.009120354,riffle,xs2,0.472,0.282,6.061,1.777,13.576,12.842,39.155,39.155,24.863,0.080,,43.887
site_5,us_hx8,upstream,39.570202,0.009120354,pool,xs1,1.097,0.646,5.372,3.975,7.565,4.897,38.787,39.155,37.136,0.242,61.999,
site_5,hx8ds_9us,upstream_downstream,39.761885,0.01071629,riffle,xs1,0.758,0.476,6.204,3.406,9.972,8.185,38.948,38.822,,,,
site_5,hx8ds_9us,upstream_downstream,39.761885,0.01071629,pool,xs2,0.828,0.495,6.007,3.433,9.432,7.255,39.32,38.505,16.760,0.060,,
site_5,hx8ds_9us,upstream_downstream,39.761885,0.01071629,riffle,xs3,0.59,0.31,5.985,2.633,12.295,10.143,38.613,38.516,14.586,0.000,31.346,
site_5,hx8ds_9us,upstream_downstream,39.761885,0.01071629,pool,xs4,0.826,0.476,4.227,2.18,10.247,5.118,37.918,37.828,22.345,0.313,,36.931
site_5,ds_hx9,downstream,39.966759,0.01071629,pool ,xs1,0.993,0.475,4.015,2.338,8.343,4.043,37.736,37.798,,,,
